Rainfall (mm),River Level (m),Soil Moisture (%),Humidity (%),Temperature (°C),Wind Speed (km/h),Flood
112.5,1.37,35.2,100.0,23.8,16.7,0
50.3,0.22,21.5,82.6,29.2,19.4,0
81.5,2.96,33.3,80.2,23.9,19.2,0
35.4,0.0,35.2,68.5,32.0,0.0,0
18.4,2.92,69.7,67.1,23.3,23.2,0
81.6,2.83,44.2,73.0,24.8,15.5,0
93.0,2.3,46.2,69.2,27.9,7.8,0
30.0,5.19,41.9,29.9,27.8,3.5,0
136.4,2.62,70.7,69.0,25.3,14.2,0
139.0,3.33,53.4,93.0,24.7,21.8,0
21.5,4.24,31.6,74.8,32.0,21.2,0
22.5,2.4,23.8,43.0,17.6,18.3,0
23.4,1.91,39.6,59.4,31.5,17.1,0
45.3,1.95,74.2,84.5,15.3,18.5,0
36.8,3.13,47.0,72.0,27.7,17.0,0
14.6,2.98,73.3,84.3,23.5,11.7,0
24.1,5.07,84.4,73.1,21.7,8.7,0
4.7,1.55,89.0,83.4,36.4,11.2,0
6.0,2.15,43.6,74.8,20.2,16.9,0
11.8,3.93,33.1,69.2,19.8,6.2,0
173.6,3.48,65.6,76.1,21.2,10.4,0
160.0,2.41,27.9,28.3,33.3,13.3,0
85.0,2.21,50.3,54.3,26.3,22.7,0
30.2,1.75,32.1,78.2,25.2,10.5,0
11.6,1.14,41.5,40.0,20.8,13.4,0
49.5,2.46,48.0,81.9,16.5,11.9,0
69.2,3.38,40.7,66.9,21.9,14.2,0
26.2,3.05,64.8,50.1,23.7,11.4,0
66.5,2.38,54.8,66.7,23.6,11.8,0
16.9,2.98,30.5,49.6,25.3,24.4,0
30.8,1.07,32.3,76.6,26.9,19.5,0
40.7,3.35,37.0,85.6,20.1,10.5,0
163.1,0.35,75.9,64.1,26.1,13.2,0
23.8,2.88,64.6,90.0,21.6,14.3,0
68.9,3.39,10.2,77.4,23.9,8.8,0
20.5,2.66,56.0,75.1,32.5,8.9,0
17.9,2.51,100.0,74.2,18.1,13.3,0
26.1,0.91,56.3,58.6,31.6,20.8,0
50.9,2.43,48.4,66.6,30.5,13.9,0
148.5,5.47,37.3,68.0,17.0,15.7,0
29.7,2.4,30.1,66.2,21.1,13.2,0
93.5,2.09,55.3,58.6,22.5,21.7,0
168.5,0.08,9.7,60.0,19.1,14.0,0
60.6,3.05,36.5,39.5,27.0,3.3,0
105.5,3.16,49.4,47.0,21.8,18.3,0
24.8,1.79,72.1,58.4,15.9,14.9,0
67.6,2.13,19.5,45.0,24.4,8.8,0
80.5,0.51,41.2,70.8,23.7,14.8,0
13.9,2.68,62.5,86.2,23.1,15.6,0
22.6,3.25,46.1,57.7,17.7,10.8,0
39.2,0.0,75.9,82.7,27.9,12.7,0
26.7,2.44,60.9,85.0,20.7,19.3,0
43.0,5.1,33.8,44.3,25.3,12.4,0
11.8,2.73,50.5,65.0,29.9,19.7,0
157.6,3.24,33.8,44.0,22.2,21.7,0
100.3,4.09,48.4,27.1,32.7,16.0,0
349.0,3.35,53.5,71.6,20.5,7.4,0
15.6,1.96,63.4,45.6,36.6,9.5,0
69.5,0.07,54.2,34.2,21.0,15.2,0
27.0,6.55,26.4,67.3,22.8,16.1,0
17.8,3.62,10.7,58.5,28.3,17.2,0
96.4,3.77,60.4,59.7,23.2,20.8,0
52.2,4.06,7.9,70.4,28.0,9.2,0
37.1,4.18,53.3,83.4,23.4,8.9,0
62.0,3.69,31.1,64.4,25.8,20.1,0
23.5,2.54,49.3,73.3,24.2,20.8,0
22.8,2.02,46.7,63.1,29.4,16.8,0
27.8,3.6,55.8,58.1,18.6,23.2,0
109.9,2.72,49.8,73.3,23.9,10.5,0
103.9,2.67,63.2,51.1,25.7,18.7,0
14.9,3.98,54.7,60.8,29.4,24.3,0
153.1,5.65,71.9,37.1,17.8,15.6,1
48.8,1.09,39.7,38.7,29.6,18.1,0
68.7,3.22,28.0,69.1,26.2,19.0,0
27.0,0.99,54.9,80.5,19.3,11.6,0
50.8,2.79,47.8,62.5,27.9,14.3,0
17.7,0.0,57.1,66.9,22.6,8.6,0
25.4,1.45,48.4,85.0,35.6,18.5,0
90.9,2.53,70.2,69.6,24.0,13.1,0
92.4,4.1,59.1,74.9,31.8,9.5,0
71.0,0.28,25.4,60.9,32.8,22.5,0
35.1,3.15,41.6,61.6,21.2,26.1,0
14.6,2.45,52.9,37.6,26.5,12.3,0
119.1,4.7,41.6,93.8,34.5,20.2,0
97.2,1.89,37.4,76.2,34.6,19.0,0
7.2,3.15,75.3,40.0,21.3,11.2,0
93.5,2.27,64.8,64.3,30.9,18.8,0
37.1,1.03,35.0,90.5,26.0,14.3,0
82.4,1.64,67.7,59.2,20.6,20.6,0
12.0,1.37,65.7,85.7,20.6,6.0,0
28.3,0.0,61.6,100.0,30.4,18.1,0
53.8,4.82,19.3,63.8,31.9,21.9,0
157.6,1.96,53.0,49.3,32.5,14.2,0
53.9,3.22,30.2,43.7,25.7,11.8,0
106.9,0.84,45.9,80.4,24.5,12.3,0
59.5,2.57,72.5,65.5,27.0,20.1,0
57.9,3.26,42.0,50.5,18.5,10.2,0
73.8,2.63,46.8,66.9,25.1,11.8,0
47.8,1.25,21.7,66.9,33.1,11.0,0
89.3,3.71,52.7,91.3,25.6,17.4,0
19.0,0.0,78.0,89.3,30.0,31.5,0
48.0,0.14,91.5,52.2,27.9,15.0,0
